Name,ABV,IBU,OG,EBC,PH,AttenuationLevel,FermentationTempCelsius,Yeast
Coffee Imperial Stout,9,65,1080,97,4.4,76,19,Wyeast 1056 - American Ale
Comet,7.2,70,1067,30,4.4,82.1,19,Wyeast 1056 - American Ale
Crew brew,8,100,1072,28,5.2,84.72,21,Wyeast 1272 - American Ale II
Dana - IPA Is Dead,6.7,70,1066,30,4.4,77.3,19,Wyeast 1056 - American Ale
Dead Metaphor,6.8,30,1068,86,4.4,76.5,19,Wyeast 1056 - American Ale
Dead Pony Club,3.8,35,1040,25,4.4,70,19,Wyeast 1056 - American Ale
Deaf Mermaid - B-Sides,5.2,65,1048,16,5.2,79,19,Wyeast 1056 - American Ale
Devine Rebel (w/ Mikkeller),12.5,100,1093,36,4.4,68,19,Wyeast 1056 - American Ale
Dog A,15,90,1120,100,4.4,98,19,Wyeast 1272 - American Ale II
Dog B,15,90,1120,100,4.4,98,19,Wyeast 1056 - American Ale
Dog C,15,90,1120,100,4.4,98,19,Wyeast 1056 - American Ale
Dog D,16.1,85,1125,400,4.3,84,21,Wyeast 1272 - American Ale II
Dog E,16.1,100,1015,500,4.4,84,21,Wyeast 1272 - American Ale II
Dog Fight (w/ Flying Dog),8.5,65,1078,31.2,4.4,84.6,18,Wyeast 1272 - American Ale II
Dog Wired (w/8 Wired),7.1,65,1065,13,4.4,85,9,Wyeast 2007 - Pilsen Lager
Dogma,7.5,30,1080,46,4.5,70,12,Wyeast 2007 - Pilsen Lager
Doodlebug,2.5,35,1027,10,4.2,70.4,19,Wyeast 1056 - American Ale
Double IPA - Russian Doll,8,85,1074,35,5.2,82.4,19,Wyeast 1056 - American Ale
Edge,2.7,36,1033,57,4.4,70.8,19,Wyeast 1056 - American Ale
El Dorado - IPA Is Dead,6.7,70,1066,30,4.4,77.3,19,Wyeast 1056 - American Ale
Electric India,,38,1045,15,4.4,88.9,22,Wyeast 3711 - French Saison
Ella - IPA Is Dead,7.2,100,1064,12,4.4,84,19,Wyeast 1056 - American Ale
Elvis Juice V2.0 - Prototype Challenge,6.5,60,1060,25,4.4,83.3,19,Wyeast 1056 - American Ale
Everday Anarchy,,45,1081,15,4.4,93.8,23,Wyeast 3711 - French Saison
Fake Lager,4.7,40,1046,12,4.4,78,10,Wyeast 2007 - Pilsen Lager
Galaxy,6.7,67,1013,19,4.4,79.7,19,Wyeast 1056 - American Ale
Goldings - IPA Is Dead,6.7,70,1066,30,4.4,77.3,19,Wyeast 1056 - American Ale
Growler,4.5,38,1042.9,18,4.4,81,10,Wyeast 2007 - Pilsen Lager
Hardcore IPA,9.2,125,1085,40,4.4,81.2,21,Wyeast 1272 - American Ale II
Hardkogt IPA,7.6,175,1072,40,4.4,80.6,21,Wyeast 1272 - American Ale II
HBC 366 - IPA Is Dead,7.2,70,1067,30,4.4,82.1,19,Wyeast 1056 - American Ale
HBC 369,6.7,67,1013,19,4.4,79.7,19,Wyeast 1056 - American Ale
Hello My Name Is Beastie,8.2,42,1078,90,4.4,83.3,21,Wyeast 1272 - American Ale II
Hello My Name Is Holy Moose,5.5,35,1053,25,4.4,79.3,17,Wyeast 1056 - American Ale
Hello My Name Is Ingrid,8.2,42,1078,70,4.4,83.3,22,Wyeast 1272 - American Ale II
Hello My Name Is Little Ingrid,4.4,35,1045,30,4.4,73.3,19,Wyeast 1056 - American Ale
Hello My Name Is Mette-Marit,8.2,70,1076,,4.4,83,19,Wyeast 1056 - American Ale
Hello My Name Is Päivi,8.3,70,1076,30,4.4,82.9,21,Wyeast 1272 - American Ale II
Hello My Name is Sonja (w/ Evil Twin),8.3,70,1076,30,4.4,82.9,21,Wyeast 1272 - American Ale II
Hello My Name is Vladimir,8.2,70,1076,16,4.4,83,21,Wyeast 1056 - American Ale
Hello My Name Is Zé (w/ 2Cabeças),6.4,50,1061,20,4.4,80.3,19,Wyeast 1056 - American Ale
Hinterland,9,85,1094,400,4.3,73.4,21,Wyeast 1272 - American Ale II
Hobo Pop,4.2,50,1042,30,4.4,76.2,19,Wyeast 1056 - American Ale
Hop Fiction - Prototype Challenge,5.2,40,1048,13,4.4,79.2,19,Wyeast 1056 - American Ale
Hopped-Up Brown Ale - Prototype Challenge,6.3,85,1063,24,4.2,82.6,19,Wyeast 1056 - American Ale
Hoppy Christmas,7.2,70,1067,30,4.4,82.1,19,Wyeast 1056 - American Ale
Hops Kill Nazis,7.6,70,1073,59,4.4,79.5,20,Wyeast 1272 - American Ale II
Hunter Foundation Pale Ale,5.4,35,1050,11.5,4.4,84,19,Wyeast 1056 - American Ale
Hype,4.1,65,1042,17,4.4,76.2,19,Wyeast 1272 - American Ale II
India Session Lager - Prototype Challenge,4.4,35,1040,12,4.4,79.5,10,Wyeast 2007 - Pilsen Lager
International Arms Race (w/ Flying Dog),7.5,0,1069,50,4.4,81.1,19,Wyeast 1056 - American Ale
Interstellar,6.5,55,1059,50,4.4,81.4,19,Wyeast 1056 - American Ale
Jack Hammer,7.2,250,1065,15,4.4,84.6,21,Wyeast 1272 - American Ale II
Jasmine IPA,5.8,40,1060,35,4.4,76.7,19,Wyeast 1056 - American Ale
Jet Black Heart,4.7,45,1055,200,4.4,70,19,Wyeast 1056 - American Ale
Kohatu - IPA Is Dead,7.2,70,1067,30,4.4,82.1,19,Wyeast 1056 - American Ale
Konnichiwa Kitsune,4.4,70,1045,30,4.4,82.9,20,Wyeast 1272 - American Ale II
Libertine Black Ale,7.2,50,1068,150,4.4,78.6,19,Wyeast 1272 - American Ale II
Libertine Porter,6.1,45,1067,219,4.4,70.1,18,Wyeast 1056 - American Ale
Lichtenstein Pale Ale,5.2,50,1050,17,4.4,80,19,Wyeast 1056 - American Ale
Lizard Bride - Prototype Challenge,5.7,35,1053,25,4.4,79.3,17,Wyeast 1056 - American Ale
Lost Dog (w/Lost Abbey),10,35,1080,80,4.4,85,19,Wyeast 1272 - American Ale II
Lumberjack Stout,15.2,20,1110,158,4.4,82,21,Wyeast 1272 - American Ale II
Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),,30,1043,15,4.4,81.4,23,Wyeast 3711 - French Saison
Mandarina Bavaria - IPA Is Dead,7.2,100,1064,12,4.4,84,19,Wyeast 1056 - American Ale
Mango Gose - B-Sides,6.4,40,1057,10,3.5,87,20,Wyeast 1056 - American Ale
Melon And Cucumber IPA - B-Sides,6,50,1050,8,5.2,87,20,Wyeast 1056 - American Ale
Misspent Youth,7.3,30,1079,120,4.4,74.7,19,Wyeast 1056 - American Ale
Morag's Mojito - B-Sides,6.7,40,1063,15,5.2,84,19,Wyeast 1056 - American Ale
Moshi Moshi 15,5.2,45,1048,35,4.4,77.1,19,Wyeast 1056 - American Ale
Motueka,6.7,67,1013,19,4.4,79.7,19,Wyeast 1056 - American Ale
Movember,4.5,50,1047,140,5.2,74.5,19,Wyeast 1056 - American Ale
Mr.Miyagi's Wasabi Stout,7.5,90,1072,200,4.4,79.2,21,Wyeast 1272 - American Ale II
Nanny State,0.5,55,1007,30,4.4,28.6,19,Wyeast 1056 - American Ale
Nelson Sauvin,7.5,75,1068,30,4.4,82.1,19,Wyeast 1056 - American Ale
Neon Overlord,7.6,70,1067,20,4.4,82,21,Wyeast 1272 - American Ale II
Never Mind The Anabolics,6.5,35,1050,23,4.4,76,18,Wyeast 1056 - American Ale
Nitro breakfast stout small batch,8,80,1092,88,5.2,70.65,21,Wyeast 1272 - American Ale II
No Label,4.5,25,1043,10,4.2,79.1,15,Wyeast 1056 - American Ale
Nuns With Guns,4.2,25,1044,19,4.4,72.7,16,Wyeast 2007 - Pilsen Lager
Old World India Pale Ale,7.5,80,1069,50,4.4,82.6,22,Wyeast 1272 - American Ale II
Old World Russian Imperial Stout,9.5,80,1075,195,4.5,81.3,19,Wyeast 1272 - American Ale II
Orange Blossom - B-Sides,3.8,20,1039,6,5.2,87,20,Wyeast 1056 - American Ale
Pale - Russian Doll,4,35,1041,45,5.2,75.6,19,Wyeast 1056 - American Ale
Paradox Islay,10,55,1090,300,4.4,84.4,21,Wyeast 1272 - American Ale II
Paradox Islay 2.0,13,100,1015,300,4.4,84.4,21,Wyeast 1272 - American Ale II
Paradox Jura,10,55,1128,300,4.4,89,21,Wyeast 1272 - American Ale II
Paradox rye,13,100,1112,300,4.4,86.61,21,Wyeast 1272 - American Ale II
Peroxide Punk,4,40,1039,18,4.4,76.9,19,Wyeast 1056 - American Ale
Pilsen Lager,6.3,55,1060,30,4.4,80,9,Wyeast 2007 - Pilsen Lager
Pioneer - IPA Is Dead,7.2,100,1064,12,4.4,84,19,Wyeast 1056 - American Ale
Prototype 27,9.2,149,1083,19.5,4.4,83,19,Wyeast 1272 - American Ale II
Prototype Helles,4.9,18,1010,13,4.2,78.7,12,Wyeast 2007 - Pilsen Lager
Prototype Pils 2.0,4.7,25,1008,25,4.2,75.6,12,Wyeast 2007 - Pilsen Lager
Pumpkin King,5.4,20,1055,30,4.4,74.6,19,Wyeast 1272 - American Ale II
Punk IPA 2007 - 2010,6,60,1056,17,4.4,82.14,19,Wyeast 1056 - American Ale
Punk IPA 2010 - Current,5.6,40,1055,15,4.4,78,19,Wyeast 1056 - American Ale
Restorative Beverage For Invalids And Convalescents,8.5,100,1068,15,4.4,95.6,21,Wyeast 1272 - American Ale II
Rhubarb Saison - B-Sides,,25,1052,10,5.2,87,20,Wyeast 3711 - French Saison
Riptide,8,45,1075,240,4.4,81.3,20,Wyeast 1272 - American Ale II
Russian Doll – India Pale Ale,6,70,1058,25,5.2,79.3,19,Wyeast 1056 - American Ale
Rye Hammer,7.2,250,1065,17,4.4,84.6,21,Wyeast 1272 - American Ale II
San Diego Scotch Ale (w/Ballast Point),9,70,1090,190,4.4,80,21,Wyeast 1272 - American Ale II
Santa Paws,4.5,35,1048,44,4.4,72.9,19,Wyeast 1056 - American Ale
Shareholder Black IPA 2011,7.1,80,1067,71,4.4,79,19,Wyeast 1056 - American Ale
Ship Wreck,13.8,60,1088,25,4.4,83,21,Wyeast 1272 - American Ale II
Shipwrecker Circus (w/ Oskar Blues),10.5,85,1102,64,4.4,102,21,Wyeast 1272 - American Ale II
Simcoe,6.7,70,1063,30,4.4,81,99,Wyeast 1056 - American Ale
Sink The Bismarck!,41,1085,1085,40,4.4,81.2,21,Wyeast 1272 - American Ale II
Skull Candy,3.5,33,1038,50,4.4,68.4,19,Wyeast 1056 - American Ale
Sorachi Ace,7.5,75,1068,30,4.4,82.1,19,Wyeast 1056 - American Ale
Sorachi Bitter - B-Sides,6.3,130,1060,14,5.2,83,20,Wyeast 1056 - American Ale
Spiced Cherry Sour - B-Sides,6.5,20,1060,,3.2,87,20,Wyeast 1056 - American Ale
Stereo Wolf Stout - Prototype Challenge,5.2,55,1052,200,5.2,73.1,19,Wyeast 1056 - American Ale
Storm,8,60,1082,12,4.4,86,19,Wyeast 1056 - American Ale
Sub Hop,8,35,1077,15,4.4,79.2,9,Wyeast 2007 - Pilsen Lager
Sunk Punk,7.1,68,1056,14,4.4,82.1,10,Wyeast 2007 - Pilsen Lager
Sunmaid Stout,10.2,50,1026,197,4.4,74.5,21,Wyeast 1272 - American Ale II
Sunshine On Rye - B-Sides,7.2,130,1065,14,5.2,87,20,Wyeast 1056 - American Ale
The Physics,5,47,1048.5,65,4.4,79.4,19,Wyeast 1056 - American Ale
This. Is. Lager,4.7,37,1043,10,4.2,83.7,12,Wyeast 2007 - Pilsen Lager
TM10,,20,1048,14,4.2,89.6,22,Wyeast 3711 - French Saison
Trashy Blonde,4.1,41.5,1041.7,15,4.4,76,18,Wyeast 1056 - American Ale
Truffle and Chocolate Stout - B-Sides,5.6,30,1058,54,4.4,74,19,Wyeast 1056 - American Ale
U-Boat (w/ Victory Brewing),8.4,50,1080,200,4.4,81.3,14,Wyeast 2007 - Pilsen Lager
Vagabond Pale ALe - Prototype Challenge,4.5,55,1045,20,4.2,73.9,19,Wyeast 1056 - American Ale
Vagabond Pilsner,4.5,55,1046,25,4.4,73.9,9,Wyeast 2007 - Pilsen Lager
Vic Secret,7.4,70,1069,30,4.4,82.6,19,Wyeast 1056 - American Ale
Waimea - IPA Is Dead,6.7,70,1066,30,4.4,77.3,19,Wyeast 1056 - American Ale
Whisky Sour - B-Sides,7,20,1081,12,3.2,74,19,Wyeast 1272 - American Ale II
Zephyr,12.5,125,1087,40,4.4,81.2,21,Wyeast 1272 - American Ale II
